dose	dose_unit	time	time_unit	pc	IRS_per_vol	nad	nadh	nadh_nad	nadh_ratio	atp	fbp_dhap_grap	g6p	adp	atp_adp	atp_ratio	dhap	lac	pyr	pg3	f26bp	pep	pg2	f6p	fbp	grap	phos	unit	measurement	species	study	experiment
0.0	mM 	30.0	min		0.0013567231415720137																						mM/min	rate	cell line	Corkey1989_Etc24	Experiment0
																															
2.4	mM 	0.0406578290665997	min	2.4	0.004732307629808562																						mM/min	rate	rat	Trus1980_Etc103	Experiment1
2.4	mM 	0.9626410546689002	min	2.4	0.0034416782762242437																						mM/min	rate	rat	Trus1980_Etc103	Experiment1
2.4	mM 	1.9706874094631992	min	2.4	0.004302097845280455																						mM/min	rate	rat	Trus1980_Etc103	Experiment1
2.4	mM 	2.977881654067602	min	2.4	0.004302097845280455																						mM/min	rate	rat	Trus1980_Etc103	Experiment1
2.4	mM 	3.8167841361428	min	2.4	0.0038718880607523497																						mM/min	rate	rat	Trus1980_Etc103	Experiment1
2.4	mM 	4.8239783807471	min	2.4	0.0038718880607523497																						mM/min	rate	rat	Trus1980_Etc103	Experiment1
2.4	mM 	5.9981862225955	min	2.4	0.003011468491696137																						mM/min	rate	rat	Trus1980_Etc103	Experiment1
2.4	mM 	7.173672229728901	min	2.4	0.0034416782762242437																						mM/min	rate	rat	Trus1980_Etc103	Experiment1
2.4	mM 	8.1808664743332	min	2.4	0.0034416782762242437																						mM/min	rate	rat	Trus1980_Etc103	Experiment1
2.4	mM 	9.020195011503397	min	2.4	0.0034416782762242437																						mM/min	rate	rat	Trus1980_Etc103	Experiment1
2.4	mM 	10.027389256107703	min	2.4	0.0034416782762242437																						mM/min	rate	rat	Trus1980_Etc103	Experiment1
2.4	mM 	15.062934424034305	min	2.4	0.003011468491696137																						mM/min	rate	rat	Trus1980_Etc103	Experiment1
2.4	mM 	19.7631742321878	min	2.4	0.003011468491696137																						mM/min	rate	rat	Trus1980_Etc103	Experiment1
2.4	mM 	20.771220586982103	min	2.4	0.0038718880607523497																						mM/min	rate	rat	Trus1980_Etc103	Experiment1
2.4	mM 	21.778414831586502	min	2.4	0.0038718880607523497																						mM/min	rate	rat	Trus1980_Etc103	Experiment1
2.4	mM 	22.9530487285298	min	2.4	0.0034416782762242437																						mM/min	rate	rat	Trus1980_Etc103	Experiment1
2.4	mM 	23.9602429731341	min	2.4	0.0034416782762242437																						mM/min	rate	rat	Trus1980_Etc103	Experiment1
2.4	mM 	25.135302925172503	min	2.4	0.0034416782762242437																						mM/min	rate	rat	Trus1980_Etc103	Experiment1
2.4	mM 	29.835542733326	min	2.4	0.0034416782762242437																						mM/min	rate	rat	Trus1980_Etc103	Experiment1
																															
2.4	mM 	0.9542656112576005	min	2.4	0.003311628354855458																						mM/min	rate	rat	Trus1980_Etc119	Experiment2
2.4	mM 	1.8249780123131	min	2.4	0.004370606286001532																						mM/min	rate	rat	Trus1980_Etc119	Experiment2
2.4	mM 	2.902374670184699	min	2.4	0.004347383085757015																						mM/min	rate	rat	Trus1980_Etc119	Experiment2
2.4	mM 	3.979771328056202	min	2.4	0.004324159885512781																						mM/min	rate	rat	Trus1980_Etc119	Experiment2
2.4	mM 	4.6262093227791965	min	2.4	0.0043102259653660146																						mM/min	rate	rat	Trus1980_Etc119	Experiment2
2.4	mM 	5.703605980650799	min	2.4	0.004287002765121496																						mM/min	rate	rat	Trus1980_Etc119	Experiment2
2.4	mM 	6.776605101143304	min	2.4	0.003725001319206334																						mM/min	rate	rat	Trus1980_Etc119	Experiment2
2.4	mM 	7.854001759014899	min	2.4	0.0037017781189621003																						mM/min	rate	rat	Trus1980_Etc119	Experiment2
2.4	mM 	8.931398416886502	min	2.4	0.003678554918717583																						mM/min	rate	rat	Trus1980_Etc119	Experiment2
2.4	mM 	9.788918205804698	min	2.4	0.0031211981128511537																						mM/min	rate	rat	Trus1980_Etc119	Experiment2
2.4	mM 	14.9736147757255	min	2.4	0.004626061488690372																						mM/min	rate	rat	Trus1980_Etc119	Experiment2
2.4	mM 	19.920844327176702	min	2.4	0.003441678276224244																						mM/min	rate	rat	Trus1980_Etc119	Experiment2
																															
2.8	mM 	0.0	min	2.8	0.00864279792481786																						mM/min	rate	cell line	Huang2014_Etc42	Experiment3
2.8	mM 	5.0	min	2.8	0.020819204459596233																						mM/min	rate	cell line	Huang2014_Etc42	Experiment3
2.8	mM 	10.0	min	2.8	0.01678994088622773																						mM/min	rate	cell line	Huang2014_Etc42	Experiment3
2.8	mM 	30.0	min	2.8	0.006887441595895948																						mM/min	rate	cell line	Huang2014_Etc42	Experiment3
2.8	mM 	60.0	min	2.8	0.0037816480912211247																						mM/min	rate	cell line	Huang2014_Etc42	Experiment3
																															
4.0	mM 	0.0232744095724921	min	4.0	0.004324703980825235																						pmol/min	rate	rat	Trus1979_Etc97	Experiment4
4.0	mM 	0.324128280549445	min	4.0	0.004849883809889743																						pmol/min	rate	rat	Trus1979_Etc97	Experiment4
4.0	mM 	0.592283747893877	min	4.0	0.0049861701456965606																						pmol/min	rate	rat	Trus1979_Etc97	Experiment4
4.0	mM 	0.726504269354882	min	4.0	0.0049896424090292175																						pmol/min	rate	rat	Trus1979_Etc97	Experiment4
4.0	mM 	0.961104606334064	min	4.0	0.00512506067900286																						pmol/min	rate	rat	Trus1979_Etc97	Experiment4
4.0	mM 	1.46500271296798	min	4.0	0.004879398048217344																						pmol/min	rate	rat	Trus1979_Etc97	Experiment4
4.0	mM 	1.9359168403918	min	4.0	0.004374183733315621																						pmol/min	rate	rat	Trus1979_Etc97	Experiment4
4.0	mM 	2.43952937144815	min	4.0	0.004257862911671588																						pmol/min	rate	rat	Trus1979_Etc97	Experiment4
4.0	mM 	2.69147842476511	min	4.0	0.004135031596278808																						pmol/min	rate	rat	Trus1979_Etc97	Experiment4
4.0	mM 	2.96120455778621	min	4.0	0.00355993798180737																						pmol/min	rate	rat	Trus1979_Etc97	Experiment4
4.0	mM 	4.00269868920809	min	4.0	0.003004809881498718																						pmol/min	rate	rat	Trus1979_Etc97	Experiment4
4.0	mM 	4.99343176171573	min	4.0	0.00264239239615256																						pmol/min	rate	rat	Trus1979_Etc97	Experiment4
4.0	mM 	9.9717994117143	min	4.0	0.004840769118641515																						pmol/min	rate	rat	Trus1979_Etc97	Experiment4
4.0	mM 	30.0	min	4.0	0.004787817102818471																						pmol/min	rate	rat	Trus1979_Etc97	Experiment4
																															
5.0	mM 	0.0	min	3.0	0.0026202165133528132																						mM/min 	rate	human	Alcazar2019_Etc0	Experiment5
5.0	mM 	1.4000000000000004	min	3.0	0.004599992133044222																						mM/min 	rate	human	Alcazar2019_Etc0	Experiment5
5.0	mM 	2.8000000000000007	min	3.0	0.00800081929608873																						mM/min 	rate	human	Alcazar2019_Etc0	Experiment5
5.0	mM 	4.200000000000001	min	3.0	0.007809625402926076																						mM/min 	rate	human	Alcazar2019_Etc0	Experiment5
5.0	mM 	5.600000000000001	min	3.0	0.00774784905298804																						mM/min 	rate	human	Alcazar2019_Etc0	Experiment5
5.0	mM 	7.0	min	3.0	0.00774902202165775																						mM/min 	rate	human	Alcazar2019_Etc0	Experiment5
5.0	mM 	8.400000000000002	min	3.0	0.007074174047018197																						mM/min 	rate	human	Alcazar2019_Etc0	Experiment5
5.0	mM 	9.8	min	3.0	0.0064122287277437245																						mM/min 	rate	human	Alcazar2019_Etc0	Experiment5
5.0	mM 	11.2	min	3.0	0.005880091941253892																						mM/min 	rate	human	Alcazar2019_Etc0	Experiment5
5.0	mM 	12.6	min	3.0	0.005880091941253892																						mM/min 	rate	human	Alcazar2019_Etc0	Experiment5
5.0	mM 	14.0	min	3.0	0.006161995411540751																						mM/min 	rate	human	Alcazar2019_Etc0	Experiment5
5.0	mM 	15.400000000000002	min	3.0	0.006560804759240265																						mM/min 	rate	human	Alcazar2019_Etc0	Experiment5
5.0	mM 	16.8	min	3.0	0.0061475287979476665																						mM/min 	rate	human	Alcazar2019_Etc0	Experiment5
5.0	mM 	18.2	min	3.0	0.00543279988853799																						mM/min 	rate	human	Alcazar2019_Etc0	Experiment5
5.0	mM 	19.6	min	3.0	0.005609918157664129																						mM/min 	rate	human	Alcazar2019_Etc0	Experiment5
																															
5.0	mM 	0.0	min	3.0	0.006359711300668299																						mM/min 	rate	mouse	Alcazar2019_Etc6	Experiment6
5.0	mM 	0.9850000000000012	min	3.0	0.006543308622191913																						mM/min 	rate	mouse	Alcazar2019_Etc6	Experiment6
5.0	mM 	1.9700000000000009	min	3.0	0.0058388944089992735																						mM/min 	rate	mouse	Alcazar2019_Etc6	Experiment6
5.0	mM 	2.955	min	3.0	0.0058388944089992735																						mM/min 	rate	mouse	Alcazar2019_Etc6	Experiment6
5.0	mM 	3.940000000000001	min	3.0	0.0058388944089992735																						mM/min 	rate	mouse	Alcazar2019_Etc6	Experiment6
5.0	mM 	4.9250000000000025	min	3.0	0.006916331751636715																						mM/min 	rate	mouse	Alcazar2019_Etc6	Experiment6
5.0	mM 	5.910000000000002	min	3.0	0.007671120740122682																						mM/min 	rate	mouse	Alcazar2019_Etc6	Experiment6
5.0	mM 	6.895000000000001	min	3.0	0.007281861112856064																						mM/min 	rate	mouse	Alcazar2019_Etc6	Experiment6
5.0	mM 	7.880000000000001	min	3.0	0.006900927894728838																						mM/min 	rate	mouse	Alcazar2019_Etc6	Experiment6
