dose	dose_unit	time	time_unit	pc	IRS_per_vol	nad	nadh	nadh_nad	nadh_ratio	atp	fbp_dhap_grap	g6p	adp	atp_adp	atp_ratio	dhap	lac	pyr	pg3	f26bp	pep	pg2	f6p	fbp	grap	phos	unit	measurement	species	study	experiment
5.0	mM 	8.865	min	3.0	0.006952967951848205																						mM/min 	rate	mouse	Alcazar2019_Etc6	Experiment6
5.0	mM 	9.85	min	3.0	0.0063334831118792125																						mM/min 	rate	mouse	Alcazar2019_Etc6	Experiment6
5.0	mM 	10.835	min	3.0	0.006307671243547094																						mM/min 	rate	mouse	Alcazar2019_Etc6	Experiment6
5.0	mM 	11.820000000000002	min	3.0	0.006684857577559753																						mM/min 	rate	mouse	Alcazar2019_Etc6	Experiment6
5.0	mM 	12.805	min	3.0	0.00708827210036334																						mM/min 	rate	mouse	Alcazar2019_Etc6	Experiment6
5.0	mM 	13.79	min	3.0	0.007338897015459066																						mM/min 	rate	mouse	Alcazar2019_Etc6	Experiment6
5.0	mM 	14.775	min	3.0	0.00711158604595364																						mM/min 	rate	mouse	Alcazar2019_Etc6	Experiment6
5.0	mM 	15.761	min	3.0	0.0072339842603045545																						mM/min 	rate	mouse	Alcazar2019_Etc6	Experiment6
5.0	mM 	16.746000000000002	min	3.0	0.006481693194560405																						mM/min 	rate	mouse	Alcazar2019_Etc6	Experiment6
5.0	mM 	17.731	min	3.0	0.005410500658777509																						mM/min 	rate	mouse	Alcazar2019_Etc6	Experiment6
5.0	mM 	18.716	min	3.0	0.005609918157664129																						mM/min 	rate	mouse	Alcazar2019_Etc6	Experiment6
																															
7.0	mM 	0.0	min	3.0	0.0012942892164199318																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	0.0999999999999996	min	3.0	0.0012522470676057122																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	0.200000000000001	min	3.0	0.0011550660745945705																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	0.3000000000000007	min	3.0	0.0012586685471599733																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	0.4000000000000003	min	3.0	0.0012513687497335488																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	0.5	min	3.0	0.0011791319842918465																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	0.5999999999999996	min	3.0	0.0011534460660748023																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	0.7000000000000011	min	3.0	0.00115635427414041																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	0.8000000000000007	min	3.0	0.0011687873515752558																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	0.9000000000000004	min	3.0	0.001159008745931837																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	1.0	min	3.0	0.0012233016141741952																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	1.0999999999999996	min	3.0	0.0013056878305831186																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	1.200000000000001	min	3.0	0.0012161774803222034																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	1.3000000000000007	min	3.0	0.0012397944719959293																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	1.4000000000000004	min	3.0	0.0015223590905583519																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	1.5	min	3.0	0.0013320373667480194																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	1.5999999999999996	min	3.0	0.0016463775741078187																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	1.700000000000001	min	3.0	0.0015465616274801868																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	1.8000000000000007	min	3.0	0.0022389298470190974																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	1.9000000000000004	min	3.0	0.0023027542790621065																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	2.0	min	3.0	0.0026382717062285108																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	2.1	min	3.0	0.0028925935256580095																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	2.200000000000001	min	3.0	0.003150623798324668																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	2.3000000000000007	min	3.0	0.0034357843341537068																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	2.4000000000000004	min	3.0	0.0037869163012696824																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	2.5	min	3.0	0.0037535402221274745																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	2.6	min	3.0	0.004143708539117378																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	2.700000000000001	min	3.0	0.004584819292692755																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	2.8000000000000007	min	3.0	0.004124190364180414																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	2.9000000000000004	min	3.0	0.00560171620690856																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	3.0	min	3.0	0.006566304412293302																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	3.1	min	3.0	0.006625054118853563																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	3.200000000000001	min	3.0	0.006993947625162175																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	3.3000000000000007	min	3.0	0.00717371001633161																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	3.4000000000000004	min	3.0	0.007464530822892368																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	3.5	min	3.0	0.0076673246604874205																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	3.6	min	3.0	0.0077869710728510075																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	3.700000000000001	min	3.0	0.008031533804810299																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	3.8000000000000007	min	3.0	0.008118780046779388																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	3.9	min	3.0	0.008190606930546553																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	4.0	min	3.0	0.008269265175543378																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	4.1	min	3.0	0.008271997720034554																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	4.200000000000001	min	3.0	0.008272192901783923																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	4.300000000000001	min	3.0	0.008275120628024468																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	4.4	min	3.0	0.008252674726846959																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	4.5	min	3.0	0.008164257394382514																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	4.6	min	3.0	0.008134980131977068																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	4.700000000000001	min	3.0	0.00813966449396194																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	4.800000000000001	min	3.0	0.008138688585215091																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	4.9	min	3.0	0.008138883766964462																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	5.0	min	3.0	0.008140640402707925																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	5.1	min	3.0	0.008123659590512767																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	5.200000000000001	min	3.0	0.008237450550396128																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	5.300000000000001	min	3.0	0.008373492229705902																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	5.4	min	3.0	0.008239987913137932																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	5.5	min	3.0	0.008377005501195418																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	5.6	min	3.0	0.008406087581851494																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	5.700000000000001	min	3.0	0.008468350559900409																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	5.800000000000001	min	3.0	0.008539006353172217																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	5.9	min	3.0	0.008560866709101615																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	6.000000000000002	min	3.0	0.008679342030968984																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	6.1	min	3.0	0.008718183199093543																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	6.200000000000001	min	3.0	0.008866521328613602																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	6.299999999999999	min	3.0	0.008924295126427879																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	6.4	min	3.0	0.008991437648211033																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	6.500000000000002	min	3.0	0.00906794889396393																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	6.6	min	3.0	0.009143289049219747																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	6.700000000000001	min	3.0	0.009195012212803562																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	6.799999999999999	min	3.0	0.009318562260154544																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	6.9	min	3.0	0.009549267087909452																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	7.000000000000002	min	3.0	0.009300800720961906																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	7.1	min	3.0	0.009355256429036033																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	7.200000000000001	min	3.0	0.009312706807673455																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	7.299999999999999	min	3.0	0.009581862440054182																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	7.4	min	3.0	0.009562539446866589																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	7.500000000000002	min	3.0	0.00930977908143291																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	7.6	min	3.0	0.00925571373685752																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	7.700000000000001	min	3.0	0.0093197333506499																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	7.799999999999999	min	3.0	0.009029302907588741																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	7.9	min	3.0	0.00909488397537694																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	8.000000000000002	min	3.0	0.008976018290009968																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	8.1	min	3.0	0.008921562581936703																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	8.200000000000001	min	3.0	0.009014859458134527																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	8.299999999999999	min	3.0	0.008674657668984113																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	8.4	min	3.0	0.008832169340725409																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	8.500000000000002	min	3.0	0.00857491979505623																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	8.6	min	3.0	0.008636402046107664																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	8.700000000000001	min	3.0	0.008340311332313926																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	8.799999999999999	min	3.0	0.008575700522053706																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	8.9	min	3.0	0.008446880567469747																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	9.000000000000002	min	3.0	0.00840120803811639																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	9.1	min	3.0	0.008404330946107166																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	9.2	min	3.0	0.008425605756787594																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	9.3	min	3.0	0.008666850399009328																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	9.4	min	3.0	0.008872376781095554																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	9.500000000000002	min	3.0	0.008948692845099082																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	9.6	min	3.0	0.008937177121886273																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	9.7	min	3.0	0.008940885575124296																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	9.8	min	3.0	0.008936591576638165																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	9.9	min	3.0	0.008934834940893838																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	10.000000000000002	min	3.0	0.008943032574367363																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	10.1	min	3.0	0.008907119132483349																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	10.2	min	3.0	0.008662361218773826																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	10.3	min	3.0	0.008495676004812156																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	10.4	min	3.0	0.008417603305064301																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	10.500000000000002	min	3.0	0.008417603305064301																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	10.6	min	3.0	0.008279219444760368																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	10.7	min	3.0	0.00840179358336536																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	10.8	min	3.0	0.008330161881346705																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	10.9	min	3.0	0.008272778447032033																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	11.000000000000002	min	3.0	0.008248575910109334																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	11.1	min	3.0	0.0082312047344163																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	11.2	min	3.0	0.008260677178571115																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	11.3	min	3.0	0.008371345230463699																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	11.4	min	3.0	0.00806842315544116																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	11.500000000000002	min	3.0	0.008001280633658868																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	11.6	min	3.0	0.008008697540134915																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	11.7	min	3.0	0.008138883766964462																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	11.8	min	3.0	0.008033485622304857																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	11.9	min	3.0	0.008073107517426032																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	12.000000000000002	min	3.0	0.007927501932397146																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	12.1	min	3.0	0.007746958814230232																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	12.2	min	3.0	0.00769425974190043																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	12.3	min	3.0	0.007604671318939767																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	12.4	min	3.0	0.007605842409435985																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	12.500000000000002	min	3.0	0.007333563869065342																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	12.6	min	3.0	0.007493612903548445																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	12.7	min	3.0	0.007448721101193428																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	12.8	min	3.0	0.007368111038703769																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	12.9	min	3.0	0.007333759050814712																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	13.000000000000002	min	3.0	0.007339224139797062																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	13.1	min	3.0	0.007338248231050214																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	13.2	min	3.0	0.007338248231050214																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	13.3	min	3.0	0.007338248231050214																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	13.4	min	3.0	0.007338248231050214																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	13.500000000000002	min	3.0	0.007338248231050214																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	13.6	min	3.0	0.007338443412799584																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	13.7	min	3.0	0.007337857867551475																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	13.8	min	3.0	0.0073396145032958																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	13.9	min	3.0	0.007333954232564082																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
7.0	mM 	14.000000000000002	min	3.0	0.007346641046272246																						mM/min 	rate	human	Alcazar2019_Etc1	Experiment7
