dose	dose_unit	IRS_per_vol	adp	atp	atp_adp	atp_ratio	dhap	f26bp	f6p	fbp	fbp_dhap_grap	g6p	glc	grap	lac	nad	nadh	nadh_nad	nadh_ratio	pep	pg2	pg3	phos	pyr	unit	measurement	species	study	experiment
1.0	mM 	0.002081364782439125																							mM/min 	rate	human	Alcazar2019_Ess2	Experiment0
5.0	mM 	0.0030724908693148985																							mM/min 	rate	human	Alcazar2019_Ess2	Experiment0
7.0	mM 	0.007334333042882412																							mM/min 	rate	human	Alcazar2019_Ess2	Experiment0
9.0	mM 	0.009217472607946383																							mM/min 	rate	human	Alcazar2019_Ess2	Experiment0
11.0	mM 	0.013776652607576628																							mM/min 	rate	human	Alcazar2019_Ess2	Experiment0
16.7	mM 	0.016155355216079328																							mM/min 	rate	human	Alcazar2019_Ess2	Experiment0
30.0	mM 	0.017443819129017834																							mM/min 	rate	human	Alcazar2019_Ess2	Experiment0
																													
1.0	mM 	0.0010087683580836018																							mM/min 	rate	mouse	Alcazar2019_Ess3	Experiment1
5.0	mM 	0.0013870564923651038																							mM/min 	rate	mouse	Alcazar2019_Ess3	Experiment1
7.0	mM 	0.002395824850449109																							mM/min 	rate	mouse	Alcazar2019_Ess3	Experiment1
9.0	mM 	0.003404593208533115																							mM/min 	rate	mouse	Alcazar2019_Ess3	Experiment1
11.0	mM 	0.008700627088473337																							mM/min 	rate	mouse	Alcazar2019_Ess3	Experiment1
16.7	mM 	0.014753237236976564																							mM/min 	rate	mouse	Alcazar2019_Ess3	Experiment1
30.0	mM 	0.023706056414971307																							mM/min 	rate	mouse	Alcazar2019_Ess3	Experiment1
																													
0.0	mM 	0.0																							mM/min	rate	rat	Ammon1998_Ess8	Experiment2
2.8	mM 	0.006523160974148505																							mM/min	rate	rat	Ammon1998_Ess8	Experiment2
8.3	mM 	0.011844013847179353																							mM/min	rate	rat	Ammon1998_Ess8	Experiment2
11.1	mM 	0.013097483995153099																							mM/min	rate	rat	Ammon1998_Ess8	Experiment2
16.7	mM 	0.01238121533916807																							mM/min	rate	rat	Ammon1998_Ess8	Experiment2
28.0	mM 	0.011460298495758905																							mM/min	rate	rat	Ammon1998_Ess8	Experiment2
																													
2.8	mM 	0.0020691040575734577																							mM/min	rate	rat	Ammon1998_Ess9	Experiment3
8.3	mM 	0.0065093356019600805																							mM/min	rate	rat	Ammon1998_Ess9	Experiment3
11.1	mM 	0.01192797691671472																							mM/min	rate	rat	Ammon1998_Ess9	Experiment3
16.7	mM 	0.01617335463578539																							mM/min	rate	rat	Ammon1998_Ess9	Experiment3
28.0	mM 	0.018314798176007736																							mM/min	rate	rat	Ammon1998_Ess9	Experiment3
																													
0.0	mM 	0.00041393366136129495																							mM/min 	rate	mouse	Ashcroft1973_Ess24	Experiment4
5.0	mM 	0.0025225032226862355																							mM/min 	rate	mouse	Ashcroft1973_Ess24	Experiment4
20.0	mM 	0.019693760100008676																							mM/min 	rate	mouse	Ashcroft1973_Ess24	Experiment4
																													
0.0	mM 	0.0014884635558842414																							mM/min	rate	mouse	Detimary1996_Ess29	Experiment5
3.0	mM 	0.0014758565805379409																							mM/min	rate	mouse	Detimary1996_Ess29	Experiment5
6.0	mM 	0.0016384265292890597																							mM/min	rate	mouse	Detimary1996_Ess29	Experiment5
10.0	mM 	0.0049604245662500735																							mM/min	rate	mouse	Detimary1996_Ess29	Experiment5
15.0	mM 	0.013550937633637822																							mM/min	rate	mouse	Detimary1996_Ess29	Experiment5
20.0	mM 	0.021175876455932503																							mM/min	rate	mouse	Detimary1996_Ess29	Experiment5
																													
0.0	mM 	0.005632042846715493																							mM/min	rate	mouse	Detimary1996_Ess34	Experiment6
3.0	mM 	0.005970734835164704																							mM/min	rate	mouse	Detimary1996_Ess34	Experiment6
6.0	mM 	0.006580878986228289																							mM/min	rate	mouse	Detimary1996_Ess34	Experiment6
10.0	mM 	0.009985990005966764																							mM/min	rate	mouse	Detimary1996_Ess34	Experiment6
15.0	mM 	0.013543637063471156																							mM/min	rate	mouse	Detimary1996_Ess34	Experiment6
